Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,MES DEC24,Backtest,CourseVWAPStrategy,Short,1,5190.50,5188.75,1/4/2022 11:05:00 AM,1/4/2022 11:25:00 AM,Sell short,Buy to cover,$7.01,$7.01,$1.74,$27.50,$12.50,$5.49,21,
2,MES DEC24,Backtest,CourseVWAPStrategy,Short,1,5045.00,5033.25,1/10/2022 9:33:00 AM,1/10/2022 9:39:00 AM,Sell short,Buy to cover,$57.01,$64.02,$1.74,$2.50,$65.00,$7.99,7,
3,MES DEC24,Backtest,CourseVWAPStrategy,Long,1,5021.50,5024.75,1/10/2022 1:15:00 PM,1/10/2022 1:21:00 PM,Buy,Sell,$14.51,$78.53,$1.74,$3.75,$18.75,$4.24,7,
4,MES DEC24,Backtest,CourseVWAPStrategy,Long,1,5105.25,5105.50,1/11/2022 1:45:00 PM,1/11/2022 1:52:00 PM,Buy,Sell,($0.49),$78.04,$1.74,$12.50,$12.50,$12.99,8,
5,MES DEC24,Backtest,CourseVWAPStrategy,Short,1,5104.25,5099.75,1/13/2022 12:19:00 PM,1/13/2022 12:25:00 PM,Sell short,Buy to cover,$20.76,$98.80,$1.74,$11.25,$51.25,$30.49,7,
6,MES DEC24,Backtest,CourseVWAPStrategy,Long,1,4918.25,4919.50,2/1/2022 10:27:00 AM,2/1/2022 11:01:00 AM,Buy,Sell,$4.51,$103.31,$1.74,$98.75,$10.00,$5.49,35,
7,MES DEC24,Backtest,CourseVWAPStrategy,Long,1,4997.00,4999.00,2/2/2022 3:48:00 PM,2/2/2022 3:57:00 PM,Buy,Sell,$8.26,$111.57,$1.74,$42.50,$15.00,$6.74,10,
8,MES DEC24,Backtest,CourseVWAPStrategy,Short,1,4851.50,4833.00,2/11/2022 1:42:00 PM,2/11/2022 1:48:00 PM,Sell short,Buy to cover,$90.76,$202.33,$1.74,$12.50,$112.50,$21.74,7,
9,MES DEC24,Backtest,CourseVWAPStrategy,Long,1,4821.75,4831.00,2/14/2022 12:26:00 PM,2/14/2022 12:32:00 PM,Buy,Sell,$44.51,$246.84,$1.74,$7.50,$47.50,$2.99,7,
10,MES DEC24,Backtest,CourseVWAPStrategy,Short,1,4796.50,4789.50,2/14/2022 1:53:00 PM,2/14/2022 1:59:00 PM,Sell short,Buy to cover,$33.26,$280.10,$1.74,$10.00,$82.50,$49.24,7,
11,MES DEC24,Backtest,CourseVWAPStrategy,Long,1,4864.50,4864.50,2/15/2022 10:18:00 AM,2/15/2022 10:29:00 AM,Buy,Sell,($1.74),$278.36,$1.74,$38.75,$3.75,$5.49,12,
12,MES DEC24,Backtest,CourseVWAPStrategy,Long,1,4891.50,4892.50,2/16/2022 3:29:00 PM,2/16/2022 3:41:00 PM,Buy,Sell,$3.26,$281.62,$1.74,$41.25,$11.25,$7.99,13,
13,MES DEC24,Backtest,CourseVWAPStrategy,Short,1,4757.50,4756.00,2/18/2022 11:06:00 AM,2/18/2022 11:12:00 AM,Sell short,Buy to cover,$5.76,$287.38,$1.74,$37.50,$18.75,$12.99,7,
14,MES DEC24,Backtest,CourseVWAPStrategy,Short,1,4642.50,4640.75,3/10/2022 9:33:00 AM,3/10/2022 9:40:00 AM,Sell short,Buy to cover,$7.01,$294.39,$1.74,$46.25,$15.00,$7.99,8,
15,MES DEC24,Backtest,CourseVWAPStrategy,Long,1,4667.50,4668.00,3/10/2022 2:29:00 PM,3/10/2022 2:35:00 PM,Buy,Sell,$0.76,$295.15,$1.74,$12.50,$30.00,$29.24,7,
16,MES DEC24,Backtest,CourseVWAPStrategy,Long,1,4835.75,4837.50,3/18/2022 12:15:00 PM,3/18/2022 12:21:00 PM,Buy,Sell,$7.01,$302.16,$1.74,$10.00,$26.25,$19.24,7,
17,MES DEC24,Backtest,CourseVWAPStrategy,Long,1,4858.50,4862.25,3/18/2022 2:59:00 PM,3/18/2022 3:05:00 PM,Buy,Sell,$17.01,$319.17,$1.74,$8.75,$25.00,$7.99,7,
18,MES DEC24,Backtest,CourseVWAPStrategy,Long,1,4879.50,4877.50,3/18/2022 3:58:00 PM,3/18/2022 4:00:00 PM,Buy,Exit on session close,($11.74),$307.43,$1.74,$23.75,$10.00,$21.74,3,
19,MES DEC24,Backtest,CourseVWAPStrategy,Long,1,4907.75,4909.25,3/24/2022 11:20:00 AM,3/24/2022 11:26:00 AM,Buy,Sell,$5.76,$313.19,$1.74,$12.50,$11.25,$5.49,7,
20,MES DEC24,Backtest,CourseVWAPStrategy,Long,1,4979.00,4979.25,3/28/2022 3:24:00 PM,3/28/2022 3:31:00 PM,Buy,Sell,($0.49),$312.70,$1.74,$3.75,$8.75,$9.24,8,
21,MES DEC24,Backtest,CourseVWAPStrategy,Short,1,5011.00,5036.25,3/29/2022 12:35:00 PM,3/29/2022 2:35:00 PM,Sell short,Stop loss,($127.99),$184.71,$1.74,$126.25,$5.00,$132.99,121,
22,MES DEC24,Backtest,CourseVWAPStrategy,Short,1,4960.25,4953.75,3/31/2022 3:59:00 PM,3/31/2022 4:00:00 PM,Sell short,Exit on session close,$30.76,$215.47,$1.74,$26.25,$45.00,$14.24,2,
23,MES DEC24,Backtest,CourseVWAPStrategy,Long,1,4981.25,4982.75,4/4/2022 10:30:00 AM,4/4/2022 10:38:00 AM,Buy,Sell,$5.76,$221.23,$1.74,$17.50,$13.75,$7.99,9,
24,MES DEC24,Backtest,CourseVWAPStrategy,Short,1,4876.25,4867.75,4/11/2022 9:35:00 AM,4/11/2022 9:41:00 AM,Sell short,Buy to cover,$40.76,$261.99,$1.74,$42.50,$47.50,$6.74,7,
25,MES DEC24,Backtest,CourseVWAPStrategy,Long,1,4871.25,4874.50,4/11/2022 10:04:00 AM,4/11/2022 10:10:00 AM,Buy,Sell,$14.51,$276.50,$1.74,$18.75,$27.50,$12.99,7,
26,MES DEC24,Backtest,CourseVWAPStrategy,Short,1,4314.75,4302.25,5/12/2022 9:35:00 AM,5/12/2022 9:41:00 AM,Sell short,Buy to cover,$60.76,$337.26,$1.74,$16.25,$76.25,$15.49,7,
