Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,MNQ DEC24,Backtest,MomentumNQ,Long,1,17872.00,17809.00,1/5/2022 10:34:00 AM,1/5/2022 10:42:00 AM,Buy,Stop loss,($127.74),($127.74),$1.74,$126.00,$1.50,$129.24,3,
2,MNQ DEC24,Backtest,MomentumNQ,Long,1,17181.25,17474.50,1/11/2022 9:50:00 AM,1/11/2022 1:50:00 PM,Buy,Sell,$584.76,$457.02,$1.74,$28.00,$649.50,$64.74,61,
3,MNQ DEC24,Backtest,MomentumNQ,Long,1,17479.50,17506.00,1/11/2022 2:02:00 PM,1/11/2022 4:00:00 PM,Buy,Exit on session close,$51.26,$508.28,$1.74,$83.00,$70.00,$18.74,31,
4,MNQ DEC24,Backtest,MomentumNQ,Long,1,17542.50,17569.50,1/12/2022 12:18:00 PM,1/12/2022 4:00:00 PM,Buy,Exit on session close,$52.26,$560.54,$1.74,$23.00,$170.00,$117.74,57,
5,MNQ DEC24,Backtest,MomentumNQ,Short,1,17634.00,17324.75,1/13/2022 9:38:00 AM,1/13/2022 1:38:00 PM,Sell short,Buy to cover,$616.76,$1177.30,$1.74,$39.50,$730.00,$113.24,61,
6,MNQ DEC24,Backtest,MomentumNQ,Short,1,17210.75,17273.75,1/14/2022 2:42:00 PM,1/14/2022 3:42:00 PM,Sell short,Stop loss,($127.74),$1049.56,$1.74,$126.00,$80.00,$207.74,16,
7,MNQ DEC24,Backtest,MomentumNQ,Long,1,15877.50,15814.50,1/25/2022 10:50:00 AM,1/25/2022 10:58:00 AM,Buy,Stop loss,($127.74),$921.82,$1.74,$126.00,$80.00,$207.74,3,
8,MNQ DEC24,Backtest,MomentumNQ,Short,1,15845.75,15908.75,1/25/2022 1:34:00 PM,1/25/2022 1:50:00 PM,Sell short,Stop loss,($127.74),$794.08,$1.74,$126.00,$22.00,$149.74,5,
9,MNQ DEC24,Backtest,MomentumNQ,Short,1,16086.00,16149.00,1/26/2022 9:38:00 AM,1/26/2022 10:02:00 AM,Sell short,Stop loss,($127.74),$666.34,$1.74,$126.00,$123.00,$250.74,7,
10,MNQ DEC24,Backtest,MomentumNQ,Long,1,16115.00,16052.00,1/26/2022 11:26:00 AM,1/26/2022 2:38:00 PM,Buy,Stop loss,($127.74),$538.60,$1.74,$126.00,$403.50,$531.24,49,
11,MNQ DEC24,Backtest,MomentumNQ,Long,1,16391.00,16500.50,1/31/2022 11:38:00 AM,1/31/2022 3:38:00 PM,Buy,Sell,$217.26,$755.86,$1.74,$22.50,$224.50,$7.24,61,
12,MNQ DEC24,Backtest,MomentumNQ,Long,1,16773.50,16710.50,2/2/2022 10:50:00 AM,2/2/2022 10:54:00 AM,Buy,Stop loss,($127.74),$628.12,$1.74,$126.00,$15.00,$142.74,2,
13,MNQ DEC24,Backtest,MomentumNQ,Long,1,16412.50,16349.50,2/7/2022 10:30:00 AM,2/7/2022 11:10:00 AM,Buy,Stop loss,($127.74),$500.38,$1.74,$126.00,$62.50,$190.24,11,
14,MNQ DEC24,Backtest,MomentumNQ,Long,1,16630.50,16659.00,2/9/2022 11:06:00 AM,2/9/2022 3:06:00 PM,Buy,Sell,$55.26,$555.64,$1.74,$93.00,$136.50,$81.24,61,
15,MNQ DEC24,Backtest,MomentumNQ,Short,1,16164.50,16219.75,2/15/2022 9:38:00 AM,2/15/2022 11:14:00 AM,Sell short,Close position,($112.24),$443.40,$1.74,$116.50,$90.00,$202.24,25,
16,MNQ DEC24,Backtest,MomentumNQ,Long,1,16219.75,16156.75,2/15/2022 11:14:00 AM,2/15/2022 12:18:00 PM,Buy,Stop loss,($127.74),$315.66,$1.74,$126.00,$37.50,$165.24,17,
17,MNQ DEC24,Backtest,MomentumNQ,Short,1,15528.75,15182.50,2/23/2022 12:26:00 PM,2/23/2022 4:00:00 PM,Sell short,Exit on session close,$690.76,$1006.42,$1.74,$20.50,$718.50,$27.74,55,
